Id,CaptionText,Category
394,The way to my heart..#Dubai #dubai2014 #miraclegarden #flowersinbloom #flowersindessert ##destination #happiness     #wenatravelbitz #wenatraveldiaries #thankful #moments #simplepleasure #simplyme #wanderlust #exploredubai @phontograph,APAC
395,#Dubai #dubai2014 #burjalarabatnight #burjalarab #dubailandmark #latepost     #wenatravelbitz #wenatraveldiaries #destination #wanderlust #exploredubai #moments #thankful #simplepleasure @phontograph,APAC
396,Go somewhere youve never been..#Dubai #dubai2014     #wanderlust #burjkhalifa #atthetopburjkhalifa #wenatravelbitz #wenatraveldiaries  #happiness #thankful #moments #exploredubai @phontograph,APAC
397,Be WILD..Be FEARLESS..Be FREE..#Dubai #dubai2014 #destination #dubaimall #waterfall #latepost #wenatravelbitz #wenatraveldiaries #thankful #blessed #exploredubai   #wanderlust #simplepleasure #moments,APAC
398,Love the free fall!  Sky Dive  The Palm Dubai United Arab Emirates  Travel April 2014  #wanderlust #fernweh     #thepalm #dubai #uae #skydive #skydivedubai #bucketlist,APAC
399,#goodnight#flywithme#Spain#Barcelona #ibelieveicanfly#LOVEKZ sladkih ,EU
400,Turn my world upside down.  Sky Dive  The Palm Dubai  United Arab Emirates  Travel April 2014      #fernweh #wanderlust #skydive #thepalm #skydivedubai #dubai #uae #bucketlist,APAC
401,Sheikh Zayed Grand Mosque Dubai United Arab Emirates April 2014  #wanderlust #fernweh     #uae #dubai #mosque #sheikhzayed,APAC
402,Coron 2014  700 steps to Mt.Tapyas  #picplaypost #coron   #girlfriends #2014 #throwback,APAC
403,#Vanuatu #Port_Vila,APAC
404,#Vanuatu #Port_Vila,APAC
405,#Vanuatu #Port_Vila,APAC
406,#Vanuatu #Port_Vila,APAC
407,#Vanuatu #Port_Vila,APAC
408,#Vanuatu,APAC
409,Weather : Jan: min 23 max 29 Mar. 2329 May. 2127 Jul. 1925 Sep. 1926 Nov. 2128,OTHERS
410,Beach please! #latergram #SharePH #anawangin #the_philippines #the_ph #beach  ,APAC
411,A street performer got the little audience!  #paris #instatrip   #trip #travelgram   #instagood #instamoment #instatrip #streetperformer,EU
412,Beuvrons en Auge  #france #beuvronenauge #instatravel #instagood   #beautifulvillage #travelgram   #trip #instamoment #igtravel #traveling #traveler  # #,EU
413,Zoolgico #SantiagoDeChile  ,AMERICA
414,missing my trying hard #photobomber #VJthePro #cutestphotobomber #HK2014 #throwback  ,APAC
415,!  . !  tu me manques;)#france #pyrenees##mountains#village#view#trip   #spain#summer,EU
416,#BabyBeach   #aruba con @jani_alejandra @josireth_27 y @juanmi_c,OTHERS
417,#Repost @uncruise here we go to Cabo to catch our @uncruise adventure with @cruisebuzz #cruise #adventure #nature #sunset #ocean #naturephotography     #travelblog #travelblogger #travelmexico #mexico #seaofcortes #baja #smallshipcruise #boattravel #bucketlistvacation #bucketlist #dreamvacation #follow #followus,AMERICA
418,#shafikrambling Just as a painter paints And a ponderer ponders A writer writes And a wanderer wanders.  Roman Payne  #flashbackfriday #lonelytraveller #santorini #bangkokdangerous #quote #qotd #traveller #travellingdoctor #travelgram #travelogue   #backpacker #viaGoPro #goodvibe #gopromalaysia #gopro4 #goprolabapp #tanakwagu #avantang #gwapo  #asianguy #asianmen #iger #ig_malaysia #ig_thailand #awakkatmane,APAC
419,#Vanuatu #Port_Vila,APAC
420,#Vanuatu #Port_Vila,APAC
421,#Vanuatu #Port_Vila,APAC
422,#Vanuatu #Port_Vila,APAC
423,    :211.971 . :  : :  . :     .           .             30  1980.  #Vanuatu #Port_Vila,APAC
424,#tbt #BCNinspira #muntjuc #telefricdemontjuc #Barcelona #BCN #throwbackthursday #shamelessselfie #selfie   #travelspain   #Espana #Spain #mediterranean #wintertrip #fujifilm #X30,EU
425,#Spain #nerja  ,EU
426,#Spain #tarifa  ,EU
427,#Spain  #tarifa  ,EU
428,#throwbackthursday  Sunset by the Manila Bay.. This was capture exactly 1 year ago during travelling trip to Manila.. For sunset lover this is the place you shouldnt be miss.. One of favourite moment where everyone is clapping once the sun goes down..  How to go?? Just hop onto the Jeepney.. Cheap and Easy  . #sunsetfreak #sunsetlover #pilipinas #manilabay #sunset #raysoflight #manila #philippines #pinoy #love #traveller   #travelgram #travelogue #travellingdoctor #travelphotography #backpacker #backpacking2014 #myLPguide #lonelyplanet #lonelytraveller #iger #ig_nature #ig_travel #ig_malaysia #ig_philippines #natgeo #naturelover,APAC
429,tomorrowland.. #hongkongdisneyland    ,APAC
430,#macau #macau2014 #macautravel      #familytrip,APAC
431,somewhere in #macau  #macau #macau2014 #macautravel   #familytrip #snapshot,APAC
432,#Fiji,APAC
433,#Fiji,APAC
434,#Fiji,APAC
435,#Fiji,APAC
436,#Fiji,APAC
437,Ho proprio bisogno di essere li  #newyork #loveu #NY #summer #topoftherock   #USA #centralparkNY #greatcity #bigapple #missit,AMERICA
438,#throwbackthursday #oceanpark #hongkong  ,APAC
439,To fofo com essa carinha que juro que d vontade de levar para casa! ** Como no se apaixonar por essa coisinha to linda! <3  #Koala #AustraliaZoo #SteveIrwin #CrocodileHunter #Queensland  ,APAC
440,A year ago crazy  what a year.,OTHERS
441,So nice to browse all my holiday pictures!  Got this awesome photo from #milan #hopetovisityouagain,EU
442,Spotted ! #cheetah #masaimara #game #hunt #kenya #wildlife  ,AFRICA
443,#shafikrambling  Last Christmas.. I gave you my heart.. But the very next day you gave it away.. This year to save me from tears.. Ill give it to someone special.. . . One of my favourite things to do during travelling is to do nothing!! Just go out sit in one corner order a great coffee listen to the live band and see how the locals do.. This pic was taken back then during Christmas Eve last year in Bangkok. Its was a Pink Night!! Pink Christmas Tree Locals wearing pink shirt taking selfie wefie and whatever fie.. Lols.. It is a great night.. Good night Iger!! . . #pinknight #christmasseve #siamparagon #bangkok #solotrip #throwback #thailand #bangkokdangerous #hangover   #traveller #travelgram #travellingdoctor #travelphotography #travelogue #backpacking2014 #backpacker #lonelytraveller #asianguy #asianmen #iger #ig_travel #ig_thailand #ig_malaysia,APAC
444,#dikalabosan Kadangkala waktu berhenti  Ku toleh ke sisi Engkau tiada di sampingku Tapi lebih seringkali  Bertemu dalam mimpi Semuka dengan sahabatku Aku tanya apa khabar.. . . . p/s matila dah terjebak..tak pernah nak minat lagu ni.. sekarang asyik dengar cam jatuh hati pulak.. perhaps is the fever talking  . . #kawaguchiko #lakeside #fujisan #fuji5lake #spring #japan #throwback #vsco #phonto #uniqlo #traveller #travellingdoctor #travelgram #travelphotography #travelgram #backpacking2014   #backpacker #asianguy #asianmen #lonelytraveller #iger #ig_malaysia #ig_japan #ig_travel #ig_fashion,APAC
445,This was the view from every window at Salvador Dalis villa in Portlligat near cadaqus Spain #Cadaqus #portlligat #Barcelona #BCN #Spain #roadtrip #salvadordali #museumhouse #casamuseu #art     #travelspain #inspireBCN #viewstodiefor #ocean #sea #finishingvillage #lovespain #christmas #fujifilm #X30 #BCNinspira,EU
446,Seeing someone happy makes me happy ;).,OTHERS
447,Wragg Square #charleston #holycity     #wanderlust,AMERICA
448,#sangemini   ,EU
449,The Marina Bay Sands  Singapore taken along the boardwalk #singapore   #travelgram #instaplace #instatravel #instagramtravel #igsg #igtravel #igsingapore #asia #asean #hotel #luxury #skyscraper #instagramsingapore,APAC
450,The ambience of a bygone era trapped in the luxury of a five star.. Love the old world charm of this beautiful Galle hotel aptly titled Amangalle (aman     peace    in Sanskrit.)  #amangalle #srilanka #oldworld #charming #piano #bigpiano #daytime #chandeliers #peace #love #beauty   #latergram,APAC
451,Santorini Park.. Bukan Santorini real pun sebenarnye.. Kat Thailand je.. Huhu.. Nak gi Greece tak cukup duit laie.. Kepada sesiape yg nak gi.. Nak fefeeling travel ke Santorini boleh try gi sini.. Camne nak gi?? Senang je.. Naik BTS turun kat Victory Station.. Pastu naik MiniVan ke area Chamam dalam 180 Baht je.. Santorini Park ni tepi highway je.. . . p/s: puuh puuh flu go away..  . . #throwback #santorinipark #selfie #viaGoPro #GoPro #goprolabapps #gopromalaysia #gopro4 #bangkokdangerous #thailand #bangkok #traveller   #travellingdoctor #travelphotography #backpacker #backpacking2014 #lonelytraveller #asian #iger #ig_malaysia #ig_thailand,APAC
452,#summer dreaming #capecod   #beach #sand #sun @mylarnyc,AMERICA
453,A night in a tree house #Turkey #Turkiye   #dammitjohnson,APAC
454,#LaBoqueria #laboqueriamarket #foodie #foodporn #foodpic #freshseafood #amazingfood #lovefood #tasty #Barcelona #BCN #BCNinspira     #travelspain #Spain #Espana #fujifilm #X30,EU
455,#Fiji,APAC
456,#Fiji,APAC
457,#Fiji,APAC
458,#Fiji,APAC
459,uber cute! #cutiepatotie #redinaction #mrbeaninspired #cool   #roadmate,OTHERS
460,So honey now.. Take me into your loving arms.. Kiss me under the light of a thousand stars.. Place your head on my beating heart.. Im thinking out loud.. Maybe we found love right where we are.. . . p/s time sakit2 ni fefeeling melodramatic sikit  . . #lovesong #favourite #lyric #throwback #autumntrip #autumn #foliage #mapleleaves #fragranthill #beijing #traveller   #travelgram #travellingdoctor #travelphotography #backpacker #backpacking2014#lonelytraveller #naturelover #sephiamode #asianmen #asianguy #iger #ig_china #ig_nature #ig_malaysia #love #vsco #phonto,APAC
461,Friends drinks Sinatra. The emerald #itwasaverygoodyear   #filmphotography #filmcamera #film #canon #vancouver #theemerald #ilford400 #ilford,AMERICA
462,Cant remember why we were there but hanging at the emerald in Van made my top trips for 2014. Felt like we were in 1960s Las Vegas. Friends close Martinis closer.   #filmphotography #filmcamera #canon #film #ilford400 #ilford #blackandwhite #vancouver #theemerald,AMERICA
463,I miss India!  #throwback #Kochi #Kerala #SouthIndia #INDIA     #travelinstyle  Nasib setiap hamba Allah kat muka Bumi tak sama. Berlainan rezeki. Ada yang dapat lebih rezeki ada yang dapat kurang tp yang dapat kurang tu mesti Tuhan bagi kelebihan dari aspect lain mungkin. Sebab Allah itu maha Adil. Sama jugak dgn jodoh. Ada yg dapat jodoh cepat ada yang lambat.  Dalam kehidupan seharian aku dan dikelilingi oleh insan2 yang selalu ckp mcm ni dkt aku xpa la tak kahwin lg bole p jalan2 merata. Sorang2 senang xdak komitmen. Errrr..aku sendiri pelik. Mereka2 ni tak pernah single ka. Lahir2 terus kahwin ka? Or tiba2 Bumi ni baru wujud nak dijelajah? Aku sendiri yg single ni komitmen byk jugak weii..Mcm hutang korang kena bayar macam tu jugak aku kena bayar. Dan kenapa nak dijadikan status perkahwinan itu sebagai halangan. Dan paling aku tak suka anak dijadikan alasan. Alasannya susah nak jaga. Aku pernah jumpa 1 couple ni masa dekat Krabi. Best ja dorang p jalan2 n then tinggai anak kat mak bapak tlg jaga.  #typicalmalaysian Aku tgk mat2 salleh OK ja bawa 1 family travel siap posing 1 dunia lg. Personally bagi aku aku tak nak status perkahwinan tu sebagai halangan utk kita nak travel. Mungkin kadar per tahun utk kita keluar dari negara ni mungkin berkurang sedikit compare ketika masih single. Its better than nothing kan. Kalo dah sama2 minat travel lg best kan. Dia jugak soulmate kita dia jugak travel partner kita.  Hopefully Alyah menang mlm ni. Bole bayar buat repair Audi Dato Ramli tu. Haha #AJL29,APAC
464,#LonelyPlanet #WorldHeritage #WondersOfTheWorld #SiemReap #Province #Cambodia   #LiveSimply #,APAC
465,#RoyalPalace #PhnomPenhCity #Cambodia   #,APAC
466,Phoenix is looking pretty good right now.. I dont know how many more cold northeast winters I can handle!! #Phoenix #arizona #usa #sunset #cactus #cacti     #travelbug #travellove #travelporn #traveltheworld #travelinspiration #wander #wanderlust #nature #natureporn #adventure,AMERICA
467,Fambam   #boracay,APAC
468,#Auqianusia #Fiji,APAC
469,#Auqianusia #Fiji,APAC
470,#Auqianusia #Fiji,APAC
471,#Auqianusia #Fiji,APAC
472,#Fiji,APAC
473,Gondola Ride Venice Italy December 2014  #wanderlust     #fernweh #italy #venice #gypsysoul #gondola,EU
474,Inside Vatican Museum Vatican  Rome  #fernweh   #wanderlust   #gypsysoul #rome #wheninrome #italy #vatican,EU
475,And so it begins   #yallinvited,OTHERS
476,Tea is the symbol of purity stability and fertile. The purity of tea represents the love is pure and noble; the stability of tea stands for faithful love; the fertile of tea represents the family will have many children.. . . p/s: Saje je nak try chinese tea.. Macam2 perise ade.. Cume satu je yg tak best.. kecik bebenor cawannye.. Seteguk minum dah abis  #throwback #tb #chinesetea #tealover #art #teaceremony #autumntrip #beijing #china #pekingyardhostel #myLPguide #lonelytraveller #lonelyplanet #traveller   #travelgram #travelogue #travellingdoctor #travelphotography #backpacking2014 #backpacker #iger #ig_china #ig_malaysia,APAC
477,#batucaves #kualalumpur #place  ,APAC
478,This crazy ride for this freaking crazy hot day. Yay I missed feeling hot when I am feeling cold.  #hotandcold   #travelpamorein2015 #enchantedkingdom #laguna,OTHERS
479,#montsaintmichel #france   #instatravel #geo_tag #lifeonthemove   #travelgram #instagood #trip #instamoment #traveler #traveling #igtravel #tourism #instatrip  # #,EU
480,Last photo from Munich 2014. Wish every studio was this full of light. Found it inspiring.     #analogphoto #canon #film #filmcamera #blackandwhite #ilford400 #ilford #filmphotography,EU
481,Santoriniinspired Resort found in the northern. #thunderbirdresorts #launion #elyu #home #pinay #pinas #resorts #travelnorthernluzon #northluzon #itsmorefuninthephilippines #greekinspired #chill #asian #igers_ph #places,APAC
482,#flashbackfriday TAJ MAHAL!! One of the most beautiful monument in the world and one of wonders of the world.. Its symbolizing the eternal love of a Mughal emperor Shah Jahan towards his wife Mumtaz. Untongle.. Aku yg nanhado ni jgn harap le ade org nak ... The best time to visit during winter.. Catch the sight during sunrise and sunset.. Its magnificent .. Camne nak gi? Sewa auto je.. Chao beta!! #throwback #wondersoftheworld #traveller   #travelgram #travelogue #travellingdoctor #travelphotography #wefie #bacpacker #backpacking2014 #northindia #agra #tajmahal #lonelyplanet #lonelytraveller #myLPguide #iger #asian #ig_travel #ig_india,APAC
483,#tbagain#shenzen#shopingmurah ,APAC
484,#flashbackfriday Each traveller have his/her own crazy bucket list or wish list some people wanna do skydiving at NZ some people wanna ride transsiberian train etc.. Me too.. My wishlist.. To see all 7 Wonders before reaching 30s and not to forget visiting mecca for umrah/haj too  Great Wall of China has several gates. The most accessible is Badaling Gate.. Best time to visit for me is during autumn.. Clear sky and beautiful autumn foliage.. Happy Travelling!!! #throwback #greatwallofchina #autumntrip #bluesky #beijing #badalinggate #smokerree #autumnfoliage   #travelgram #travelogue #travellingdoctor #travelphotography #backpacking2014 #bacpacker #myLPguide #lonelytraveller #lonelyplanet #iger #ig_china #ig_malaysia #ig_travel,APAC
485,Carvings! :  ) #Cambodia #wishlist #wanderer #happiness  ,APAC
486,#toweroflondon #london   #england #surroundedbytheenglish,EU
487,When I travel everything seems so perfect. Especially when Im with the ones I love.,OTHERS
488,#tb#macau ,APAC
489,New York in Las Vegas,AMERICA
490,The shops from birds eyeview #Singapore #MarinaBaySands #MBS   #instaplace #travelgram #igsg #igsingapore #igph #igphilippines #igtravel #instagramtravel #hotel #instatravel,APAC
491,Sindh River Kashmir. . Major tributary of the Jehlum River and is 108 km long. Origins in Sonmarg..this is my click on Sindh River Spring 2012...sweet momento.  #myclick  #kashmir     #solotravellertoIndia #indahbumiALLAH  #beautifuldestinations  #sweetmomento #X100fujifilm  #worldtourists  #wanderlust  #worlderlust  #rivers #imissthisplace,APAC
492,Memory Agra India..throw back April 2014.     #throwback2014 #agraindia #beautifuldestinations  #worldtourists  #wanderlust  #worlderlust  #X100fujifilm     #indahciptaanALLAH  #imissthisplace #tajmahal #worldheritage,APAC
493,Family Vacation & Bonding #BoracayIsland #Philippines  ,APAC
494,Got a wonderful view from NotreDame de Paris  #notredame #paris     #travelgram #instagood #trip #traveling #instatravel #tourism #igtravel #traveler  #,EU
495,Up next from the 2014 travels entries from Palm Spring love this place. Climate design beers... Awesome. #sketch #sketches #sketchbook #pen #ink #art #doodles #doodling #people   #airport #planes   #palmsprings #california,AMERICA
496,This man in Hanoi was not happy when I tried to take a photo of him and his birds. #hanoi #hanoistreetscene #vietnam #birds   #travelblog #wanderlust,APAC
497,Hanoi souvenirs   #travelblog #hanoi #hanoistreetscene #vietnam #wanderlust,APAC
498,#shafikrambling  Berbelanja untuk memiliki kereta yang hebat maka duduklah anda didalam kereta. Berbelanja untuk memiliki rumah yang tersegam indah maka duduklah anda di dalam rumah melihat dinding.. Berbelanja untuk mengembara maka anda memilih untuk melihat DUNIA!    . . P/s madah diciplak dari blog kawan saya galakjalan.blogspot.. @firdausazmi... Bile nak update blog  #qotd #quote #madahberhelah #selamatpagi #morning #throwback #tb #segerbeach #beautifulbeach #lombok #indonesia #traveller   #travelgram #travelogue #travellingdoctor #travelphotography #bacpacker #backpacking2014 #lonelytraveller #iger #asian #ig_travel #ig_malaysia #ig_indonesia #jalan2man,APAC
499,#plaacatalunya #catalunya #Barcelona #BCN #Espana #Spain     #inspirespain #explorebarcelona #plaa #flight #pigeons #birds #picoftheday #fujifilm #X30,EU
500,#Hofburg #ImperialPalace #winterpalace  #heldenplatz #theHabsburgs #Vienna #wien #austria #europe #inlovewitheurope #jetsetter #bestof2014   #latergram,EU
501,#amsterdam   #travels #traveler #travelbag #travelbug #travelers #traveling #traveller #travelbag #travelbug #travelers #traveling #traveller #travelpic #travelzad   #travelasia #travelball #travelblog #travelgram #italy #italywedding #italyweddings #italyweddingday #italyweddinglove #italyweddingplanner #italyweddingphotographer #italyweddingphotographers #sicilia #siciliawedding #,EU
502,#latergram #Scotland #scottishhighlands #williamwallacememorial   #uk,EU
503,British Museum  London  #London #lndlyf #britishmuseum   #travel2009 #england #art #history #architecture #adventure #readingroom #vscocam #InstaSize #bucketlist,EU
504,Teaching them from young the meaning of love and respect towards other living being is something that I love in Japan. A todler feeding a deer at Nara Park.   #traveljapan #visitjapan #mykampung #deer #todler #nara #japan #feed #tespectlife #beacivilisedhuman #love #throwback,APAC
505,City of Smiles.,OTHERS
506,#Vancouver #British #Columbia #Canada   #Vancity #Instagramvancouver #Instagood #VivaVancity #TheAngelsHaveLandedInVancouver #VictoriasSecret #VS #VSLOVESCANADA #VICTORIASECRET #Tbt #City #Van,AMERICA
507,   ()            ;          :         .      .  #mytrip #park #germany #potsdam #sanssouci     #brightpic,EU
508,An autumn forest buildings and a mountain background. My kind of sceneries... In reality all I can see is Mama Penguin and her hubby enjoying life with The money from the oppressed...  Somewhere in Arashiyama   #traveljapan   #autumn #koyo #momiji #japanesemaple #mykampung #nature #building #mountain #mygloomymorning #acehworld #yellow #orange #leaf #arashiyama #kyoto #japan,APAC
509,      #katmandu   #nepal #nagarkot #lategram,APAC
510,   .     .  #incredibleindia #varanasi   #lategram   #spiritofindia # #,APAC
511,Foot massage by these fishes. #Throwback #Siquijor #Philippines #EkaZalTravelAdventures #ByaheNiZaldoy #Travels   #TravelPH @bihbihek,APAC
512,One of the best attractions in the UK . #throwback  ,EU
513,Angkor Thom (kot ) #SiemReap #Cambodia   #throwback      Nanti nak honeymoon tolong laaaa jangan p Langkawi ka Cameron Highland ka alaaaa #typicalmalaysian sgttt!!! Kalo tak mampu nak p sampai benua lain kita p Cambodia pon jadi la. Jadi oversea! Masing2 dh pernah mai sini kan. Tp nnt kita tukar route. Kita overland Indochina. Kita msk pintu yg kita tak pernah masuk. ***2 3 menjak ni mmg aku berangan. Haha ,APAC
514,   !!!,OTHERS
515,I really cannot wait until Im done studying and can plan a new adventure :) April 30th cant come soon enough! #southamerica #elephantseals #seals #natureporn   #beach #puntaninfas #puertomadryn #argentina   #traveltheworld #travelinspiration #wanderlust #wander #fernweh #adventure #wildanimals,AMERICA
516,Throwback.. Historical place i visited at Roma Italya. Dreams really do come true. Its unforegetable experience and one of best things happen in my life. Thanks to the wonderful people who had given me this experience   #emma #davidelomanto #cherry,EU
517,#panorama #bali #indonesia #meno #trawangan     # #,APAC
518,#panorama #bali #indonesia #meno #trawangan     # #,APAC
519,#panorama #bali #meno #indonesia     # #,APAC
520,Las Vegas #usa#nevada#lasvegasstrip#lasvegas #,AMERICA
521,    2013 .,OTHERS
522,#lombok #Indonesia  ,APAC
523,#Tegallalangriceterraces #bali #Indonesia  ,APAC
524,#Mountbatur #Bali #Indonesia  ,APAC
525,Piscina olimpionica #pechino  #swimming#nuoto,OTHERS
526,None,OTHERS
527,456,OTHERS
528,Old school hot tub (kawa) | Tibiao Antique | 2013,APAC
529,#Tbt cenando por las calles de Miami   viaje inolvidable  #Family @luismarquez5,AMERICA
530,  #Dharmk0t #TriundTrek #thr0wback,APAC
531,Bukchon Hanok Village Seoul South Korea   #travelingjoker #jokertravels #seoul #southkorea #bukchonhanok,APAC
532,On my way to Disneyland  Hong Kong Disneyland China   #travelingjoker #jokertravels #hongkongdisneyland #hongkong #disney #disneyland #disneylandresortline,APAC
533,It doesnt suit me.. Disneyland Hotel Hong Kong China    #travelingjoker #jokertravels #hongkong #disney #disneyland #disneylandhotel #mickey,APAC
534,Here comes the sun do do do do.. Laiya Batangas Philippines    #travelingjoker #jokertravels #beach #laiya #batangas #beachbum #sun #summer,APAC
535,Laiya Batangas Philippines   #travelingjoker #jokertravels #batangas #laiya #philippines #beach #beachbum #summer,APAC
536,Disneyland Metro Hong Kong China   #travelingjoker #jokertravels #hongkong #MTR #hongkongMTR #mickey #metro #disneyland #disneylandresortline #hongkongdisneyland,APAC
537,Hollywood Hotel Hong Kong Disneyland   #travelingjoker #jokertravels #disney #disneyland #hongkong #hollywoodhotel,APAC
538,Busy breakfast at Hong Kong Disneyland Hotel Hong Kong China    #travelingjoker #jokertravels #disneyland #hongkong #disney #disneylandhotel #mickey,APAC
539,Tsim Sha Tsui Hong Kong China   #travelingjoker #jokertravels #hongkong #china,APAC
540,Picturesque islands with seemingly unending stretches of fine white sand. This is Langkawi. #Wanderlust   #Langkawi #Malaysia #TrulyAsia,APAC
541,Top View  The Leaning Tower of Pisa #pisa #leaningtower  #traveldiary  #traveladdict      #princess  #rayban  #chronotech #top #summer  #selfie #pinay #pinoy #italy #history,EU
542,The leaning tower of Pisa #traveldiary #pisa #italia #pinoy #pinay #leaningtower #princess  #summer  #rayban #selfie #traveladdict     #travellushes #tourist #turista #chronotech #white,EU
543,Spelunking | EAT Danao Bohol | 2013  #bohol #eatdanao #danao #sharePH #sharebohol #itsmorefuninthephilippines #choosephilippines #the_ph #visitPH #visitBohol #spelunking   #travelphoto2013 #travelphoto,APAC
544,High tide on a sand bar. | Virgin Island Panglao Bohol  #travelphoto2013,APAC
545,#Shanghai #china  ,APAC
546,#Pingyao #china  ,APAC
547,#china #huangshan  ,APAC
548,Cutiebirdie   #,OTHERS
549,Kanheri Caves in Mumbai  #kanhericaves #mumbai   #instagood #instatravel #india   #travelgram #,APAC
550,Puerto Rico  #,AMERICA
551,time flies so fast...its time to pack my bags again... remember this @wawoooooo?  #Korea #LayOver #HelloKitty #lookingback #CridlenTravel   #2years #live #love #life #happiness #Igers #iPhone #photooftheday #picoftheday,APAC
552,#Repost @bluechips42 with @repostappEntrance to Bodbe Monasterynear Sighnaghi where the remains ofSt. Ninoare enshrined #Georgia  ,EU
553,#Repost @bluechips42 with @repostapp #NikonShoot #TbilisisGovtBldg #Perspective101  ,EU
554,When in #Ubud Bali Indonesia. Please take me back!  #Relax #Peaceful #Nature #Throwback #Bali #wanderlust   #Indonesia #postcardlike #nofilter,APAC
555,Sunset in Sagada  Sagada Mountain Province Baguio      #fernweh #wanderlust,APAC
556,My loves <3 #love #them   #trinidad #photo #goodtimes #fun #all_smiles,AMERICA
557,Beautiful <3 #sky #blue #clouds   #trinidad #nofilter #iPhone #iPhone_pic #love #gorgeous,AMERICA
558,#srilanka   #travels #traveler #travelbag #travelbug #travelers #traveling #traveller #travelbag #travelbug #travelers #traveling #traveller #travelpic #travelzad   #travelasia #travelball,APAC
559,#Magickingdom #orlando #disney  ,AMERICA
560,#Magickingdom #orlando #florida  ,AMERICA
561,#Thailand #Trat #kohchang     # #,APAC
562,Amazing. #Disney #MagicKingdom   #Show #Maleficent #Castle,OTHERS
563,Dreams Can Come True. #Disney #MagicKingdom #Castle #Enredados #Magic #Night #Old  ,OTHERS
564,Im still keeping this for good luck  i got from Batu Caves Malaysia 15 February 2013 . #goodtimes   #blessing #BatuCaves #malaysia #positivity #timehop   #happiness #life #enjoy,APAC
565,Malinamnam! sana may branch na din dito soon di ba @im2slim? Din  Tai Fung!  #dintaifung #yummy #food #kualalumpur #malaysia   #valentines #vacation,APAC
566,#Trkiye #stanbul #Turkey #Istanbul #beyoglu #taksim #istiklal     # # #,EU
567,#Trkiye #stanbul #Turkey #Istanbul #beyoglu #taksim #istiklal     # # #,EU
568,2015.01.24 * Lve locks of #Busan #Korea * *  * * ,APAC
569,#Turkey #Istanbul #taksim #beyoglu #istiklal     # # #,EU
570,#Turkey #Istanbul #beyoglu #taksim #istiklal     # # #,EU
571,#Turkey #Istanbul #istiklal #taksim #beyoglu #sentantuankilisesi     # # # #,EU
572,Downtown Toronto  #blacknwhitebuildings #whichsideareyou #perfectweather #perfectday #throwback #touristmode,AMERICA
573,#Java #Jakarta #Indonesia #tamanmini #tamanminipark     # #,APAC
574,#Java #Jakarta #Indonesia #indonesianrepost     # #,APAC
575,#Jakarta #Java #Indonesia #indonesianrepost     # #,APAC
576,#kualalumpur ,APAC
577,#Indonesia #jakarta #jakartabarat #tamanminipark #tamanmini     #indonesianrepost,APAC
578,2015.02.07 * #FlowerStep #ewhadongMuralVillage #Seoul * *  #Helen   #MytravelMemories #timeless,APAC
579,#Indonesia #jakarta #java #tamanmini #tamanminipark   #travel,APAC
580,#Indonesia #jakarta #java #tamanmini #selamat datang     #getaway #tangerang #indonesianrepost #jakartalife,APAC
581,#Bali #indonesia #jimbaran      #,APAC
582,#bali #balilife #indonesia #trawangan #gilimeno     #,APAC
583,#Bali #balilife #indonesia     #trawangan #gilitrawangan,APAC
584,#Bali #indonesia #nusadua   #travel,APAC
585,#Bali #indonesia #gilitrawangan #trawangan     #sea #sun #beach,APAC
586,This is from trip last year to London. Visit to the Tower of London and Tower Bridge. It was such an emotional experience walking on history and thinking about all the historic events that took place in this area. #London #LHR #TowerofLondon #TowerBridge #Bridge #Gothicarchitecture #history #Gothic     #tbt #throwbackthursday #architecture #UnitedKingdom #UK,EU
587,Cuteness overload!!  #cat #cats #kucing #ilovecats #purrcatcafeclub #Bangkok #Thailand      Tonite! Bubu I miss U! I miss U so much! ,APAC
588,Sole Wanderer!   #throwbackthursday #adventurer #ilocosnorte,OTHERS
589,#bali #balilife     #indonesia #trawangan #gilitrawangan #sunnyday #sun #,APAC
590,#bali #indonesia #balilife     #trawangan #gilitrawangan #sunnyday #,APAC
591,#trawangan #gilimeno #Bali #balilife #Indonesia   #travel,APAC
592,#Bali #balilife #Indonesia     #NusaCeningan #Ceningan,APAC
593,#Bali #balilife #Indonesia     #trawangan,APAC
594,#Bali #Indonesia #NusaCeningan #Ceningan     #balilife #,APAC
595,#Bali #Indonesia #NusaCeningan #Ceningan   #balilife #travel,APAC
596,#Bali #Indonesia #NusaCeningan #Ceningan   #balilife,APAC
597,#Bali #Indonesia #NusaCeningan #Ceningan   #balilife #travel,APAC
598,2015.01.26 * Looking down Seoul from a different angle. * * #SkyObservatory #NaksanPark #Seoul * *  #Helen   #MytravelMemories #timeless,APAC
599,SAGADA is   ,OTHERS
600,#Indonesia #Bali #trawangan #gilitrawangan     #balilife,APAC
601,#Bali #Indonesia #trawangan #gilitrawangan     #balilife,APAC
602,#Bali #GiliTrawangan #Trawangan     #balilife,APAC
603,One summer in Vienna Austria 2013 #Vienna #Austria #pinay #filipino #barhopping   #traveldiary  #glamour #candlelite #dress #throwback #traveladdict,EU
604,Cam per les Highlands les terres altes dEsccia.  #escocia #scotland #highlands #road #tierrasaltas     #viatgeincreble #skye,EU
